Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,-1.4007058,-1.2838366,-1.1771324,-1.1821649,-1.178613,-1.159984,-1.169496,-1.1621174,-1.139354,-1.0318185,-0.76165044,-0.5246948,-0.45290297,-0.45824102,-0.5922802,-0.7009419,-0.7413771,-0.81141514,-0.8535235,-0.9341745,-1.0367404,-1.1225994,-1.1038481,-0.6376905,0.16824722,0.6796654,0.9474866,1.0290064,1.0488302,1.0450016,1.0466307,1.0511446,1.0730352,1.0638305,1.0901258,1.1091027,1.1284053,1.1244974,1.1267474,1.119659,1.1148226,1.0772117,1.0399272,0.9343087,0.89406925,0.9402804
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,-1.3955209,-1.1811023,-1.1663072,-1.1738653,-1.1356012,-1.1368282,-1.1446564,-1.1429476,-1.1163949,-1.0256175,-0.76447064,-0.5440362,-0.47510186,-0.4864324,-0.620492,-0.71978486,-0.76336217,-0.8287339,-0.8739132,-0.9442854,-1.0298003,-1.1040403,-1.0767522,-0.68102676,0.118777804,0.6509743,0.9377944,1.0201361,1.0468636,1.0422561,1.0557857,1.0664954,1.0871952,1.0817962,1.0989318,1.1105602,1.104432,1.1208158,1.1277412,1.1411517,1.1164892,1.0891448,1.0905495,0.9272756,0.927685,0.887531
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,-1.2862341,-1.028527,-1.123745,-1.1565375,-1.1414165,-1.1413962,-1.1288915,-1.1303899,-1.1099663,-1.0198433,-0.77272487,-0.5527147,-0.4823932,-0.49787802,-0.6468334,-0.7533022,-0.78954923,-0.8697227,-0.9170592,-0.96565396,-1.0464749,-1.123755,-1.1042134,-0.7644237,-0.009207396,0.5672733,0.9066055,1.018984,1.0470896,1.0745754,1.0686607,1.0834496,1.092844,1.1042428,1.119175,1.1107699,1.1046274,1.1433482,1.1292739,1.1070886,1.140795,1.0990319,1.0714867,0.989131,0.92762756,0.8587508
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,-1.2699267,-1.221579,-1.1192584,-1.156532,-1.1476537,-1.1293335,-1.1253612,-1.1355104,-1.1134048,-1.0180458,-0.77846336,-0.55423236,-0.48360124,-0.50229573,-0.6466247,-0.75082606,-0.7944462,-0.8700125,-0.9150593,-0.9709286,-1.0493011,-1.1195974,-1.1075232,-0.7653407,-0.0069272625,0.58325845,0.9136136,1.0213047,1.0535423,1.0714469,1.0689342,1.0895232,1.0963733,1.0992417,1.1064206,1.1055179,1.1097811,1.1150498,1.1287603,1.1252276,1.1097887,1.074009,1.0170295,0.9315349,0.91729033,0.88004965
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,-1.3603663,-1.3367529,-1.2355051,-1.1923925,-1.1908305,-1.1680214,-1.158216,-1.154725,-1.1281967,-1.009532,-0.73279154,-0.49143058,-0.41367662,-0.42993307,-0.58327067,-0.6915419,-0.73503613,-0.8181243,-0.8688141,-0.93021494,-1.0277013,-1.1233631,-1.1147077,-0.69255435,0.093693085,0.6306703,0.9213808,1.0342674,1.06132,1.0695928,1.0815012,1.0847158,1.1072483,1.1012259,1.0999925,1.1128166,1.1068692,1.122535,1.1210651,1.1227527,1.0982442,1.0669792,1.0452374,0.94362086,0.8598012,0.83264875
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,-1.1240735,-1.0465732,-1.0172803,-1.0495679,-1.0520009,-1.0371155,-1.0426013,-1.0411975,-1.0371914,-0.9957441,-0.85103834,-0.69333225,-0.64530754,-0.66674376,-0.7870755,-0.8598918,-0.88388014,-0.9327781,-0.9598148,-0.9861556,-1.0218871,-1.0468428,-1.0227062,-0.86793995,-0.26727962,0.3852303,0.83996606,1.0186074,1.0671289,1.0813136,1.0929523,1.0968559,1.1145648,1.1251295,1.1290455,1.1283677,1.1328948,1.1478298,1.1409402,1.1272712,1.1181679,1.1166222,1.0642977,0.99895716,0.95322907,0.950959
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,-1.1455257,-1.127335,-1.0456023,-1.0495874,-1.050998,-1.0451393,-1.04771,-1.0489329,-1.0409479,-0.9955402,-0.8458656,-0.68047404,-0.6283986,-0.6492191,-0.7714562,-0.84654284,-0.8745358,-0.92394906,-0.95232755,-0.9798786,-1.0184005,-1.0451944,-1.02596,-0.85505694,-0.22604594,0.42507842,0.8700439,1.0228503,1.0717106,1.0790107,1.0850595,1.1020868,1.1087681,1.1169107,1.1241447,1.1303176,1.1381757,1.151176,1.1390847,1.1411246,1.1342075,1.1171491,1.0635822,1.0031072,0.97853845,0.95009553
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,-1.1404024,-0.9659375,-0.9888751,-1.0148412,-1.0218011,-1.0179725,-1.0216868,-1.0218575,-1.0173385,-0.98953,-0.87499636,-0.7364509,-0.69124275,-0.7105981,-0.81931376,-0.8786826,-0.90058553,-0.9394974,-0.9594524,-0.97796035,-1.0020169,-1.0154707,-0.994171,-0.8676204,-0.28247544,0.39943424,0.876158,1.055207,1.1052823,1.1129867,1.1022035,1.1021664,1.1182835,1.1189326,1.1288029,1.1398079,1.1329592,1.1470536,1.1489116,1.1562939,1.1535285,1.1312059,1.0846609,0.9981589,0.97042686,0.93235326
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,-1.1047466,-0.99407643,-1.0159895,-1.02067,-1.0319746,-1.0221236,-1.0269667,-1.0262632,-1.0213578,-0.98874635,-0.8722905,-0.73273695,-0.68781537,-0.71003354,-0.81592906,-0.8818505,-0.902835,-0.94256073,-0.9628564,-0.9845541,-1.0090158,-1.0248238,-1.0037543,-0.87224156,-0.2881821,0.3982857,0.88110155,1.0558004,1.1022267,1.1006459,1.0976155,1.1062106,1.1215718,1.1244278,1.1246779,1.1390492,1.1441153,1.1616042,1.150481,1.1609036,1.1492404,1.1174178,1.0732623,1.0179085,0.9541513,0.91334873
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,-1.1064684,-1.0926945,-1.0172341,-1.0333989,-1.0478051,-1.0359328,-1.0402873,-1.0428591,-1.0350314,-0.995873,-0.86119866,-0.7108755,-0.6631154,-0.6876136,-0.80254674,-0.8702613,-0.8939613,-0.9398781,-0.96437275,-0.98770344,-1.0188062,-1.0416778,-1.0167316,-0.86051774,-0.2526301,0.41175282,0.8806775,1.0514877,1.100977,1.1033647,1.0928526,1.095109,1.1065148,1.1111457,1.1223476,1.1360835,1.1405216,1.1508063,1.1525285,1.1552579,1.1673584,1.1247292,1.0687993,1.0302716,0.9666747,0.9203125
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,-1.0701412,-0.93657887,-1.021735,-1.0378624,-1.0149118,-1.0173768,-1.0247498,-1.0204695,-1.0110499,-0.978961,-0.87567985,-0.75884473,-0.7289715,-0.74633825,-0.82996505,-0.8837439,-0.8970952,-0.93527263,-0.9514834,-0.9686115,-0.9940345,-1.0209842,-1.0043982,-0.8705212,-0.39093545,0.23849624,0.7974699,1.0160066,1.0824145,1.09399,1.1017878,1.1098408,1.1553295,1.1577007,1.1775591,1.1892258,1.1874909,1.1857212,1.1917238,1.2147313,1.160112,1.1538365,1.0834126,0.9685773,0.9140028,0.87389517
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,-1.0658939,-1.0657012,-1.0552466,-1.0148017,-1.0290556,-1.0087616,-1.0191548,-1.0131441,-1.0046642,-0.96562445,-0.86500216,-0.75254416,-0.71799964,-0.74224854,-0.8204341,-0.8655128,-0.88774455,-0.9187133,-0.93626,-0.95620435,-0.9877473,-1.016156,-1.0076259,-0.8677224,-0.40040052,0.23219627,0.7889057,1.0182536,1.0912784,1.108515,1.1181664,1.1593766,1.1535606,1.1852481,1.2005126,1.225419,1.1913532,1.2157557,1.1994205,1.2185589,1.176198,1.1134384,0.9821279,0.86971986,0.87496233,0.8301879
